Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 5371	149023618.2	57.00001454	3.37511E+13	318635.6568	7.289431527	0.1	3.5575
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
1.194295922	40	2.033597337	54.33344163	0.002008316			
1.556203777	58	2.311764858	66.40984172	0.00175936			
2.008588596	70	2.6128952	79.97555215	0.001548611			
2.62383195	97	2.965728707	96.21419055	0.00135494			
3.401933839	129	3.347774825	113.8063067	0.00118994			
4.433371226	168	3.77859915	133.0853264	0.001042368			
5.77243029	188	4.249671521	152.7251696	0.0009135			
7.509587995	209	4.758912825	171.2801325	0.000800903			
9.753416697	224	5.299829522	186.749562	0.000702764			
12.68487032	236	5.870784553	196.9754297	0.000616233			
16.5029982	243	6.457960177	199.5926575	0.000540265			
