Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
NGC 0024	3.00019E+12	4.695449045	5.00003E+12	99937526160	1.348857651	0.100091509	1.17
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.21	17.4	34.19675456	8.647486399	2.684680859			
0.32	31	41.591074	11.88531183	2.174840063			
0.43	36.1	47.51576091	14.66650783	1.876152282			
0.54	46	52.49305422	17.09029107	1.674192661			
0.64	58	56.42384964	19.03671642	1.537844156			
0.74	63.4	59.91707744	20.77337907	1.430166016			
0.85	71.9	63.35303473	22.47226666	1.334420948			
0.96	76.4	66.4389442	23.97621303	1.255644496			
1.07	78.1	69.23252614	25.30762779	1.189352048			
1.17	80.5	71.55552708	26.38407378	1.13738994			
1.28	82.8	73.90454316	27.43565174	1.087420031			
1.38	85.6	75.87521348	28.28248858	1.047279905			
1.48	88	77.70679499	29.03487238	1.011280088			
1.59	92	79.57808066	29.76310817	0.975671798			
1.7	92.4	81.31477904	30.39658788	0.943578101			
1.8	95.1	82.78842646	30.89754174	0.916993086			
1.91	96.5	84.30472204	31.37337332	0.890195983			
2.02	101	85.72126245	31.7772331	0.865618698			
2.13	99.9	87.04699627	32.1155074	0.842970763			
2.23	103	88.18001988	32.37100537	0.823853294			
2.34	104	89.35335986	32.59973249	0.80425614			
2.44	107	90.35871696	32.76406061	0.78760307			
2.54	107	91.30997897	32.89032742	0.771943395			
2.65	106	92.29834902	32.98894281	0.755752125			
2.76	107	93.23028913	33.04902922	0.740538723			
7.07	104	108.1510552	25.3475509	0.462692657			
8.49	106	109.162063	22.78275138	0.422229399			
9.91	109	109.4814369	20.7451777	0.390809837			
11.27	110	109.3788721	19.20157317	0.366471627			
