Galaxy	rho0	rnfw	sig0	sigb	rdisc	rbulge	ChiSq
UGC 3691	99996696959	67.80359904	4.49937E+13	9.99695E+12	0.1	0.1	1.3948
							
Rkpc	Vkms	Vhalo	Vdisc	Vbulge			
0.05	9.07708	11.91361662	16.05538817	54.97807835			
0.1	16.15789	16.84012567	22.89384856	38.87537202			
0.15	20.89114	20.61473763	25.96410351	31.74160834			
0.2	24.49644	23.79217677	26.96978157	27.48903918			
0.25	27.45633	26.58742793	26.81172403	24.58694409			
0.3	29.81039	29.11080622	26.0178716	22.4447065			
0.35	31.87513	31.4278778	24.90770151	20.77976041			
0.4	33.69394	33.5813847	23.67456801	19.43768601			
0.45	35.32263	35.60103093	22.43272874	18.32602612			
0.5	36.90657	37.50845499	21.24621826	17.3855949			
0.55	38.49051	39.32000064	20.14732399	16.57651433			
0.6	40.16148	41.04837195	19.14866848	15.87080417			
0.65	42.01879	42.70367706	18.25116325	15.24817543			
0.7	43.98764	44.29411591	17.44920871	14.6935095			
0.75	45.96875	45.82644994	16.73402477	14.19527879			
0.8	47.94986	47.30633286	16.09570929	13.74451959			
0.85	49.93097	48.73854955	15.52444102	13.3341426			
0.9	51.91208	50.12719245	15.01112107	12.95845734			
0.95	53.95339	51.4757945	14.5476596	12.61283619			
1	56.17061	52.78743088	14.12704973	12.29347205			
1.05	58.55907	54.06479812	13.74332311	11.99720027			
1.1	61.00305	55.31027645	13.39144758	11.72136569			
1.15	63.44703	56.52597956	13.06720342	11.46372179			
1.2	65.89101	57.71379469	12.76705899	11.22235325			
1.25	68.33499	58.87541526	12.48805639	10.99561567			
1.3	70.78432	60.01236777	12.22771148	10.78208824			
1.35	73.24668	61.12603396	11.9839293	10.58053611			
1.4	75.71906	62.21766944	11.75493398	10.38988021			
1.45	77.83107	63.28841925	11.53921141	10.20917285			
1.5	79.8347	64.3393311	11.33546278	10.03757789			
1.55	81.65289	65.37136659	11.142567	9.874354368			
1.6	83.25445	66.38541086	10.95955049	9.718843005			
1.65	84.64594	67.38228084	10.78556272	9.570455009			
1.7	85.85029	68.36273245	10.61985648	9.428662651			
1.75	86.88876	69.32746679	10.46177181	9.292991367			
1.8	87.77621	70.27713558	10.31072292	9.163013059			
1.85	88.52557	71.21234593	10.16618745	9.038340405			
1.9	89.15147	72.13366451	10.02769762	8.918622002			
1.95	89.66881	73.04162122	9.894832804	8.803538187			
2	90.09063	73.93671251	9.767213461	8.692797449			
2.05	90.42932	74.81940423	9.644495905	8.586133318			
2.1	90.69992	75.69013422	9.526367952	8.483301664			
2.15	90.92083	76.54931469	9.412545197	8.384078349			
2.2	91.11071	77.39733419	9.302767828	8.288257163			
2.25	91.28455	78.23455954	9.196797899	8.195648031			
2.3	91.45202	79.06133749	9.094416959	8.106075418			
2.35	91.61875	79.87799624	8.995424009	8.019376932			
2.4	91.78907	80.68484677	8.899633709	7.935402084			
2.45	91.96827	81.48218415	8.806874821	7.854011193			
2.5	92.16319	82.2702886	8.716988832	7.775074404			
2.55	92.38081	83.04942656	8.629828749	7.698470818			
2.6	92.62563	83.81985163	8.545258024	7.624087713			
2.65	92.89764	84.58180541	8.463149609	7.551819847			
2.7	93.19228	85.33551826	8.38338511	7.481568834			
2.75	93.50256	86.08121009	8.305854038	7.413242573			
2.8	93.82178	86.81909095	8.230453131	7.346754749			
2.85	94.14516	87.54936169	8.157085753	7.282024371			
2.9	94.47012	88.2722145	8.085661353	7.218975354			
2.95	94.79562	88.98783341	8.016094975	7.157536149			
3	95.12158	89.6963948	7.948306815	7.097639396			
3.05	95.44877	90.39806782	7.882221827	7.039221617			
3.1	95.77911	91.09301483	7.817769359	6.982222933			
3.15	96.11601	91.78139175	7.754882825	6.926586804			
3.2	96.46405	92.46334841	7.693499405	6.872259794			
3.25	96.82774	93.1390289	7.633559778	6.819191357			
3.3	97.20962	93.8085719	7.575007869	6.767333636			
3.35	97.60916	94.47211089	7.517790627	6.716641284			
3.4	98.02293	95.12977449	7.461857813	6.667071298			
3.45	98.44623	95.78168668	7.407161812	6.618582864			
3.5	98.8748	96.42796703	7.353657459	6.571137213			
3.55	99.30573	97.06873092	7.301301875	6.524697499			
3.6	99.73752	97.70408974	7.250054325	6.47922867			
3.65	100.16954	98.33415112	7.199876076	6.434697361			
3.7	100.60151	98.95901904	7.150730276	6.391071791			
3.75	101.03305	99.57879406	7.102581834	6.348321667			
3.8	101.46318	100.1935735	7.055397314	6.306418096			
3.85	101.88978	100.8034514	7.009144837	6.265333502			
3.9	102.30922	101.4085189	6.963793986	6.22504155			
3.95	102.71689	102.0088644	6.919315722	6.185517077			
4	103.10867	102.6045734	6.875682305	6.146736024			
4.05	103.48267	103.1957288	6.832867218	6.108675373			
4.1	103.84023	103.7824111	6.7908451	6.071313093			
4.15	104.18517	104.3646983	6.749591682	6.034628086			
4.2	104.52213	104.9426661	6.709083724	5.998600134			
4.25	104.85497	105.5163881	6.669298964	5.963209854			
4.3	105.18609	106.0859356	6.63021606	5.928438654			
4.35	105.51664	106.6513781	6.591814548	5.894268694			
4.4	105.84706	107.212783	6.55407479	5.860682844			
4.45	106.17755	107.7702158	6.516977935	5.82766465			
4.5	106.50835	108.3237404	6.480505877	5.795198299			
